rank,betweenness,closeness,pageRank
1,23,23,23
2,175,211,211
3,40,1,1
4,149,38,175
5,211,49,38
6,145,40,40
7,45,175,49
8,1,86,45
9,38,32,86
10,138,45,32
11,22,50,22
12,70,22,50
13,32,149,149
14,50,196,145
15,86,90,196
16,155,190,90
17,202,103,226
18,103,145,103
19,226,137,190
20,90,27,27
21,49,156,138
22,156,67,156
23,4,138,155
24,53,4,70
25,82,98,137
26,54,113,4
27,196,155,54
28,173,202,113
29,169,213,67
30,61,70,53
31,153,147,202
32,151,89,98
33,132,54,151
34,213,226,147
35,210,31,169
36,192,75,213
37,46,20,104
38,85,104,61
39,106,224,36
40,27,53,224
41,74,192,167
42,88,61,20
43,131,151,31
44,67,46,64
45,167,94,89
46,190,64,192
47,137,194,75
48,20,167,46
49,84,11,153
50,229,153,41
51,41,80,94
52,104,69,194
53,36,41,235
54,147,17,80
55,17,235,17
56,224,16,11
57,105,169,105
58,80,19,173
59,75,205,69
60,89,173,16
61,64,135,205
62,235,229,19
63,161,36,135
64,96,105,130
65,24,132,132
66,98,74,229
67,225,88,88
68,130,187,74
69,113,210,168
70,205,24,106
71,16,101,24
72,116,130,84
73,194,84,210
74,11,26,116
75,19,232,187
76,31,234,51
77,140,123,85
78,69,168,26
79,94,100,123
80,187,99,100
81,135,131,101
82,14,10,234
83,162,201,129
84,15,140,232
85,51,124,10
86,198,51,201
87,95,159,99
88,10,33,131
89,159,25,140
90,25,126,33
91,133,47,59
92,123,129,133
93,26,15,124
94,126,116,126
95,77,58,25
96,201,133,159
97,58,42,161
98,233,160,170
99,47,198,47
100,232,97,58
101,234,30,96
102,164,39,95
103,168,223,39
104,99,59,186
105,39,161,225
106,171,178,219
107,146,0,82
108,97,3,78
109,100,184,71
110,170,225,178
111,178,95,198
112,223,106,184
113,18,37,171
114,101,171,160
115,166,29,15
116,44,28,44
117,3,63,42
118,183,186,214
119,219,6,223
120,33,162,37
121,42,96,3
122,81,219,18
123,66,82,183
124,129,85,97
125,218,215,215
126,221,71,29
127,124,170,28
128,163,18,164
129,184,78,63
130,207,163,30
131,30,44,66
132,0,218,157
133,160,107,163
134,63,214,0
135,120,102,218
136,79,191,120
137,37,66,107
138,214,199,166
139,59,166,233
140,78,52,199
141,71,164,207
142,186,183,191
143,191,48,77
144,200,176,200
145,6,221,2
146,29,157,6
147,48,68,109
148,215,207,162
149,52,2,102
150,176,109,14
151,157,81,204
152,21,233,146
153,107,119,119
154,185,127,62
155,2,216,165
156,144,120,48
157,34,62,52
158,112,200,144
159,115,230,176
160,154,79,81
161,209,87,158
162,87,112,87
163,204,209,91
164,220,91,127
165,5,144,21
166,109,189,73
167,114,185,34
168,73,146,112
169,216,8,56
170,199,14,221
171,102,13,152
172,62,125,117
173,8,193,8
174,119,152,79
175,111,34,115
176,182,158,68
177,28,182,182
178,68,228,216
179,177,115,83
180,189,56,125
181,158,77,209
182,13,21,185
183,203,9,189
184,91,177,154
185,231,114,121
186,56,203,111
187,72,220,5
188,152,204,231
189,127,231,114
190,134,35,177
191,181,83,203
192,43,111,110
193,208,165,134
194,110,117,13
195,143,143,172
196,193,128,143
197,118,121,43
198,117,208,222
199,228,118,55
200,125,154,206
201,227,206,181
202,148,141,128
203,165,139,141
204,206,5,118
205,83,92,220
206,172,195,65
207,195,55,208
208,92,222,72
209,141,60,12
210,60,134,227
211,9,181,9
212,222,110,230
213,150,150,57
214,139,73,35
215,230,172,150
216,12,227,188
217,180,12,60
218,121,188,174
219,35,72,193
220,128,148,139
221,174,57,195
222,142,180,108
223,108,122,7
224,55,43,228
225,65,212,217
226,93,7,92
227,179,174,197
228,212,142,179
229,136,197,148
230,217,76,212
231,188,108,180
232,57,65,142
233,122,93,76
234,197,217,93
235,76,136,122
236,7,179,136
