robots,centrality,RobotOffset,steps,xxxp,1000p,2500p,5000p,37351p,1000c,2500c,5000c,37351c
3,"""betweenness-centrality""",0,19130.705,0,6.4251412429,8.6920903955,6.1497175141,0.113700565,13.0966666667,11.2616666667,6.6216666667,2.0233333333
3,"""betweenness-centrality""",25,43312.4783333333,0.4201977401,7.3439265537,10.5289548023,8.3057909605,1.6709039548,13.1983333333,11.1933333333,6.6183333333,2.2866666667
3,"""betweenness-centrality""",50,64799.9933333333,1.6899717514,8.0473163842,11.4392655367,9.2224576271,2.9230225989,13.2783333333,11.2933333333,6.685,2.445
3,"""betweenness-centrality""",75,85061.1733333333,4.3312146893,8.4858757062,13.3502824859,12.5028248588,4.9314971751,13.2566666667,11.2583333333,6.6833333333,2.6533333333
6,"""betweenness-centrality""",0,86055.4183333333,16.8757062147,13.0805084746,20.4915254237,23.3877118644,16.9258474576,13.25,11.4033333333,7.1416666667,2.6533333333
6,"""betweenness-centrality""",25,82534.055,24.3912429379,14.0783898305,22.6603107345,28.2846045198,24.6829096045,13.3183333333,11.385,7.1033333333,2.6966666667
6,"""betweenness-centrality""",50,65973.7033333333,42.822740113,15.5183615819,27.0981638418,38.6122881356,42.9223163842,13.2933333333,11.1966666667,6.7283333333,2.58
6,"""betweenness-centrality""",75,52274.1166666667,57.4816384181,16.6214689266,30.7083333333,49.6716101695,57.625,13.2633333333,11.065,6.1733333333,2.4616666667
9,"""betweenness-centrality""",0,42273.5916666667,67.2379943503,18.7556497175,32.8919491525,54.156779661,67.2895480226,13.3266666667,11.4266666667,6.9016666667,2.3283333333
9,"""betweenness-centrality""",25,31468.8233333333,78.1927966102,20.959039548,37.4392655367,63.1257062147,78.2125706215,13.3233333333,11.27,6.495,2.23
9,"""betweenness-centrality""",50,18289.1,91.6313559322,22.7302259887,43.1504237288,73.9470338983,91.7104519774,13.3216666667,10.9516666667,5.9633333333,2.095
9,"""betweenness-centrality""",75,13358.175,95.1765536723,24.5324858757,48.9583333333,84.9449152542,95.1129943503,13.1616666667,10.575,4.8483333333,2.0583333333
11,"""betweenness-centrality""",0,16762.3466666667,92.6765536723,23.0353107345,41.8177966102,73.9173728814,92.7259887006,13.3783333333,11.3316666667,6.4383333333,2.08
11,"""betweenness-centrality""",25,12979.7133333333,95.7634180791,25.6857344633,48.2556497175,83.1779661017,95.8185028249,13.225,10.9966666667,5.63,2.0483333333
11,"""betweenness-centrality""",50,9776.2916666667,98.6038135593,27.1242937853,52.7697740113,87.0967514124,98.5459039548,13.1983333333,10.7833333333,5.1483333333,2.0133333333
11,"""betweenness-centrality""",75,7832.76,99.2323446328,29.8241525424,59.8947740113,94.9696327684,99.2203389831,13.1316666667,10.1583333333,3.83,2.01
