robots,centrality,RobotOffset,steps,xxxp,1000p,2500p,5000p,37351p,1000c,2500c,5000c,37351c
3,"""random""",0,68950.1116666667,1.79378531073447,7.92090395480226,11.7401129943503,10.1539548022599,2.85310734463277,13.1583333333333,11.2233333333333,6.75166666666667,2.50833333333333
3,"""random""",25,68359.925,1.94420903954802,7.86581920903955,11.5261299435028,10.1158192090395,3.07344632768362,13.2166666666667,11.2016666666667,6.75166666666667,2.52166666666667
3,"""random""",50,66381.06,2.48305084745763,7.86581920903954,11.9661016949152,10.7351694915254,3.60381355932204,13.2516666666667,11.3416666666667,6.76833333333333,2.47333333333333
3,"""random""",75,65809.5783333333,1.86158192090396,7.79237288135593,11.8721751412429,9.7662429378531,2.85098870056497,13.2516666666667,11.295,6.65166666666667,2.47833333333333
6,"""random""",0,67709.6166666667,40.6144067796611,15.3658192090395,26.5967514124294,39.4180790960452,40.6257062146894,13.31,11.3166666666667,6.715,2.58666666666667
6,"""random""",25,69161.3183333333,39.4470338983051,15.4159604519774,26.0875706214689,37.7718926553672,39.2478813559323,13.2833333333333,11.235,6.67333333333333,2.60166666666667
6,"""random""",50,66493.79,41.792372881356,15.406779661017,26.7994350282486,39.1659604519774,41.90395480226,13.2416666666667,11.1733333333333,6.62333333333333,2.56833333333333
6,"""random""",75,67863.5566666667,40.5607344632769,15.2365819209039,26.5014124293785,38.5296610169491,40.5974576271187,13.3133333333333,11.205,6.74166666666667,2.58666666666667
9,"""random""",0,22713.17,86.7443502824859,22.0889830508474,41.7627118644068,72.3488700564971,86.7549435028248,13.2216666666667,11.0066666666667,5.83,2.15
9,"""random""",25,22569.53,86.7895480225989,22.3079096045198,41.930790960452,73.1165254237289,86.7754237288135,13.275,11.0416666666667,5.80333333333333,2.14833333333333
9,"""random""",50,21616.3633333333,87.7959039548023,22.2210451977401,41.8651129943503,73.7838983050848,87.7874293785311,13.2583333333333,11.015,5.77166666666667,2.13833333333333
9,"""random""",75,21762.8016666667,87.6087570621469,22.3552259887006,41.9823446327684,73.1673728813559,87.6730225988701,13.3116666666667,10.9933333333333,5.89,2.14
11,"""random""",0,9469.93333333333,98.5925141242938,26.8813559322034,51.9639830508475,88.319209039548,98.5868644067796,13.2116666666667,10.8416666666667,5.035,2.01666666666667
11,"""random""",25,9779.89166666667,98.3072033898305,26.8877118644068,52.1179378531074,88.29802259887,98.2718926553672,13.2216666666667,10.9116666666667,4.96833333333333,2.02
11,"""random""",50,10453.2616666667,97.6362994350282,26.9738700564972,52.0607344632769,88.6200564971751,97.6094632768362,13.2916666666667,10.7733333333333,4.96166666666667,2.02833333333333
11,"""random""",75,9219.88666666667,98.7231638418079,26.9406779661017,52.3778248587571,88.8757062146891,98.7987288135593,13.325,10.7933333333333,4.89,2.015
