robots,centrality,steps,xxxp,1000p,2500p,5000p,1000c,2500c,5000c
0,"""betweenness-centrality""",6334.4895,0.0,0.0,0.0,0.0,4.77316666666667,2.76816666666667,1.86483333333333
0,"""closeness-centrality""",6230.277,0.0,0.0,0.0,0.0,4.769,2.75066666666667,1.84666666666667
0,"""page-rank""",6229.875,0.0,0.0,0.0,0.0,4.763,2.76433333333333,1.84233333333333
0,"""random""",6336.12383333333,0.0,0.0,0.0,0.0,4.7605,2.7735,1.84433333333333
1,"""betweenness-centrality""",8520.38133333333,6.8671568627451,4.81960784313704,6.38431372549001,7.57009803921559,5.165,3.21116666666667,2.2315
1,"""closeness-centrality""",8299.63983333333,6.25,4.85735294117627,6.42941176470569,7.27352941176461,5.152,3.1905,2.2065
1,"""page-rank""",7023.28066666667,7.65049019607843,5.03823529411746,5.72696078431357,6.24656862745089,5.15866666666667,3.10633333333333,2.0745
1,"""random""",8218.32566666667,8.68382352941176,8.62598039215637,10.140196078431,10.2245098039213,5.49733333333333,3.52683333333333,2.44533333333333
2,"""betweenness-centrality""",8179.97583333333,26.2338235294118,10.8245098039211,15.7406862745094,19.7965686274507,5.44816666666667,3.45183333333333,2.32783333333333
2,"""closeness-centrality""",10332.9045,48.3166666666667,15.7970588235288,23.9534313725488,31.2367647058825,5.5615,3.646,2.61183333333333
2,"""page-rank""",8032.73283333333,26.6333333333333,10.7833333333329,16.010784313725,20.301470588235,5.4805,3.45,2.32633333333333
2,"""random""",13379.5206666667,40.4004901960784,18.4558823529403,25.9348039215683,31.3411764705882,5.5955,3.7245,2.75116666666667
3,"""betweenness-centrality""",7441.85366666667,70.55,23.7274509803917,40.3171568627455,54.9607843137252,5.702,3.5575,2.31016666666667
3,"""closeness-centrality""",7536.44166666667,75.6833333333333,24.6205882352937,41.4990196078434,56.5691176470586,5.73583333333333,3.64916666666667,2.36816666666667
3,"""page-rank""",7369.669,71.0166666666667,23.4769607843132,40.9602941176473,55.0534313725489,5.70616666666667,3.53983333333333,2.29933333333333
3,"""random""",14915.8998333333,86.9176470588235,29.6901960784312,44.3049019607843,56.4406862745096,5.53133333333333,3.537,2.56083333333333
4,"""betweenness-centrality""",6405.774,94.5333333333333,37.4117647058826,64.2524509803914,82.164215686273,5.69416666666667,3.30416666666667,1.9885
4,"""closeness-centrality""",6453.5485,95.7676470588235,39.3921568627451,64.5421568627444,82.7333333333318,5.65666666666667,3.32416666666667,2.01666666666667
4,"""page-rank""",6395.68083333333,94.95,38.0367647058823,64.5779411764698,82.2450980392143,5.68083333333333,3.302,1.9845
4,"""random""",9099.72533333333,99.2882352941177,40.2269607843137,60.5411764705876,76.1053921568618,5.349,3.22016666666667,2.1385
9,"""betweenness-centrality""",5144.98183333333,99.9686274509804,70.1024509803922,88.7397058823501,94.9534313725479,4.90766666666667,2.3245,1.53733333333333
9,"""closeness-centrality""",5122.15316666667,99.9196078431373,69.7352941176473,88.6568627450948,95.0352941176459,4.94166666666667,2.34716666666667,1.52683333333333
9,"""page-rank""",5011.90333333333,99.968137254902,75.4102941176469,89.8960784313691,95.1112745098027,4.60083333333333,2.19383333333333,1.5245
9,"""random""",3001.703,99.871568627451,76.8651960784303,94.1946078431354,98.3558823529408,4.25266666666667,1.7695,1.16383333333333
15,"""betweenness-centrality""",2084.62783333333,99.9357843137255,89.4897058823494,98.9808823529389,99.8911764705881,3.81083333333333,1.335,1.016
15,"""closeness-centrality""",5546.36083333333,99.8230392156863,76.8803921568625,89.3759803921536,94.3955882352927,4.52883333333333,2.27666666666667,1.57566666666667
15,"""page-rank""",1996.19033333333,99.871568627451,90.8803921568585,99.1813725490177,99.8397058823529,3.64066666666667,1.27033333333333,1.01216666666667
15,"""random""",1970.4185,99.8392156862745,91.1700980392116,98.6308823529396,99.5848039215685,3.13966666666667,1.29216666666667,1.03633333333333
29,"""betweenness-centrality""",1532.0945,99.839705882353,97.0568627450918,99.4985294117636,99.8024509803921,2.15033333333333,1.14866666666667,1.0155
29,"""closeness-centrality""",1841.49966666667,99.8387254901961,96.7568627450908,99.2514705882333,99.7573529411762,2.26916666666667,1.24516666666667,1.034
29,"""page-rank""",2005.746,99.8083333333334,95.5348039215614,99.0843137254879,99.7308823529409,2.67216666666667,1.29916666666667,1.03416666666667
29,"""random""",1008.195,99.8387254901961,98.6524509803889,99.7156862745095,99.8299019607843,1.50983333333333,1.05166666666667,1.00383333333333
