robots,RobotOffset,centrality,steps,xxxp,1000p,2500p,5000p,1000c,2500c,5000c
3,0,"""betweenness-centrality""",14854.9773333333,0.183333333333333,6.55572033898319,8.47902542372885,5.311511299435,13.3063333333333,11.0011666666667,6.10066666666667
3,25,"""betweenness-centrality""",36904.4943333333,0.88728813559322,7.55416666666674,10.6143361581921,7.40466101694916,13.345,11.0113333333333,6.159
3,50,"""betweenness-centrality""",63523.6303333333,2.11024011299437,7.93629943502833,11.4081920903955,8.30197740112996,13.3613333333333,10.9601666666667,6.08733333333333
3,75,"""betweenness-centrality""",88442.9271666667,5.09590395480222,8.60790960451983,13.2349576271187,10.9083333333334,13.3325,10.9075,5.979
6,0,"""betweenness-centrality""",78264.537,20.8740112994349,13.1025423728814,20.8974576271187,24.424011299435,13.3906666666667,11.1046666666667,6.44566666666667
6,25,"""betweenness-centrality""",72146.0966666667,34.8855932203389,14.4822740112994,24.5074152542373,33.0801553672316,13.3681666666667,10.9843333333333,6.26416666666667
6,50,"""betweenness-centrality""",59757.5268333333,48.6615112994349,15.6915960451977,28.3775423728813,43.1800141242938,13.3226666666667,10.845,5.9685
6,75,"""betweenness-centrality""",47099.8993333333,61.9705508474575,16.9425141242938,32.6346751412431,53.9887711864407,13.2623333333333,10.5998333333333,5.29933333333333
9,0,"""betweenness-centrality""",35269.9515,73.41511299435,19.4281073446328,35.58947740113,60.929802259887,13.389,11.0228333333333,5.986
9,25,"""betweenness-centrality""",23105.6616666667,85.5839689265536,21.5625,41.1026836158191,72.64011299435,13.3361666666667,10.8013333333333,5.48816666666667
9,50,"""betweenness-centrality""",14348.1138333333,94.6490819209039,22.9843926553673,46.8031779661017,80.3010593220338,13.2785,10.5001666666667,5.07383333333333
9,75,"""betweenness-centrality""",11626.0208333333,95.9483757062146,24.8769774011299,52.393290960452,88.9317090395484,13.1816666666667,10.0666666666667,3.93366666666667
11,0,"""betweenness-centrality""",13774.9886666667,94.4488700564971,23.7581214689265,46.2454802259889,81.971115819209,13.3523333333333,10.8616666666667,5.2455
11,25,"""betweenness-centrality""",9556.51283333333,98.0731638418079,26.3358050847458,52.9206214689266,89.4554378531074,13.3085,10.5803333333333,4.65366666666667
11,50,"""betweenness-centrality""",8269.53805879984,99.3036546823485,28.0002320866639,57.7156870106555,91.8697993815575,13.2325815545711,10.2023761578735,4.26520338300443
11,75,"""betweenness-centrality""",6221.3295,99.9064618644068,30.6320974576271,66.1268008474576,97.600105932204,13.103,9.47575,2.8075
